node_id,x_m,y_m,z_m
854,3.0,5.5,0.0
855,3.5,5.5,0.0
856,4.0,5.5,0.0
857,4.5,5.5,0.0
858,5.0,5.5,0.0
859,5.5,5.5,0.0
860,6.0,5.5,0.0
861,6.5,5.5,0.0
862,7.0,5.5,0.0
863,7.5,5.5,0.0
864,8.0,5.5,0.0
865,8.5,5.5,0.0
866,9.0,5.5,0.0
867,9.5,5.5,0.0
868,10.0,5.5,0.0
869,10.5,5.5,0.0
870,11.0,5.5,0.0
871,11.5,5.5,0.0
872,12.0,5.5,0.0
873,12.5,5.5,0.0
874,13.0,5.5,0.0
875,13.5,5.5,0.0
876,14.0,5.5,0.0
877,14.5,5.5,0.0
878,15.0,5.5,0.0
879,15.5,5.5,0.0
880,16.0,5.5,0.0
881,16.5,5.5,0.0
882,17.0,5.5,0.0
883,17.5,5.5,0.0
884,18.0,5.5,0.0
885,18.5,5.5,0.0
886,19.0,5.5,0.0
887,19.5,5.5,0.0
888,20.0,5.5,0.0
889,20.5,5.5,0.0
890,21.0,5.5,0.0
891,21.5,5.5,0.0
892,22.0,5.5,0.0
893,22.5,5.5,0.0
894,23.0,5.5,0.0
895,23.5,5.5,0.0
896,24.0,5.5,0.0
897,24.5,5.5,0.0
898,25.0,5.5,0.0
899,25.5,5.5,0.0
900,26.0,5.5,0.0
901,26.5,5.5,0.0
902,27.0,5.5,0.0
903,27.5,5.5,0.0
904,28.0,5.5,0.0
905,28.5,5.5,0.0
906,29.0,5.5,0.0
907,29.5,5.5,0.0
908,30.0,5.5,0.0
909,30.5,5.5,0.0
910,31.0,5.5,0.0
911,31.5,5.5,0.0
912,32.0,5.5,0.0
913,32.5,5.5,0.0
914,33.0,5.5,0.0
915,33.5,5.5,0.0
916,34.0,5.5,0.0
917,34.5,5.5,0.0
918,35.0,5.5,0.0
919,35.5,5.5,0.0
920,36.0,5.5,0.0
921,36.5,5.5,0.0
922,37.0,5.5,0.0
923,37.5,5.5,0.0
924,38.0,5.5,0.0
925,0.0,6.0,0.0
926,0.5,6.0,0.0
927,1.0,6.0,0.0
928,1.5,6.0,0.0
929,2.0,6.0,0.0
930,2.5,6.0,0.0
931,3.0,6.0,0.0
932,3.5,6.0,0.0
933,4.0,6.0,0.0
934,4.5,6.0,0.0
935,5.0,6.0,0.0
936,5.5,6.0,0.0
937,6.0,6.0,0.0
938,6.5,6.0,0.0
939,7.0,6.0,0.0
940,7.5,6.0,0.0
941,8.0,6.0,0.0
942,8.5,6.0,0.0
943,9.0,6.0,0.0
944,9.5,6.0,0.0
945,10.0,6.0,0.0
946,10.5,6.0,0.0
947,11.0,6.0,0.0
948,11.5,6.0,0.0
949,12.0,6.0,0.0
950,12.5,6.0,0.0
951,13.0,6.0,0.0
952,13.5,6.0,0.0
953,14.0,6.0,0.0
954,14.5,6.0,0.0
955,15.0,6.0,0.0
956,15.5,6.0,0.0
957,16.0,6.0,0.0
958,16.5,6.0,0.0
959,17.0,6.0,0.0
960,17.5,6.0,0.0
961,18.0,6.0,0.0
962,18.5,6.0,0.0
963,19.0,6.0,0.0
964,19.5,6.0,0.0
965,20.0,6.0,0.0
966,20.5,6.0,0.0
967,21.0,6.0,0.0
968,21.5,6.0,0.0
969,22.0,6.0,0.0
970,22.5,6.0,0.0
971,23.0,6.0,0.0
972,23.5,6.0,0.0
973,24.0,6.0,0.0
974,24.5,6.0,0.0
975,25.0,6.0,0.0
976,25.5,6.0,0.0
977,26.0,6.0,0.0
978,26.5,6.0,0.0
979,27.0,6.0,0.0
980,27.5,6.0,0.0
981,28.0,6.0,0.0
982,28.5,6.0,0.0
983,29.0,6.0,0.0
984,29.5,6.0,0.0
985,30.0,6.0,0.0
986,30.5,6.0,0.0
987,31.0,6.0,0.0
988,31.5,6.0,0.0
989,32.0,6.0,0.0
990,32.5,6.0,0.0
